Mode: single
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1150 2     2.825000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-575            2     2.812500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2870   2     2.775000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1150    2     2.775000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1725   2     2.775000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1725           2     2.762500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-575     2     2.762500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-575    2     2.750000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-575   2     2.700000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2300   2     2.687500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1150  2     2.612500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-575  2     2.525000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2296           2     2.500000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2300   2     2.437500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1725    2     2.412500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2870           2     2.400000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2300           2     2.400000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1150           2     2.387500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2300    2     2.362500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-575    2     2.362500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1725  2     2.337500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2870    2     2.337500
135-sft                                                                                                                   2     2.312500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1150    2     2.300000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-575            2     2.287500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1725 2     2.275000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2300 2     2.275000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1150 2     2.262500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2870   2     2.250000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1725   2     2.225000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2870  2     2.212500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1150   2     2.187500
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1725           2     2.175000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2300  2     2.175000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-575     2     2.162500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-575   2     2.162500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2870 2     2.150000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1150  2     2.087500
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2870           2     2.062500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-575  2     2.050000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-575           2     1.850000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-575                                2     1.700000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-575           2     1.675000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1150                               2     1.512500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2296          2     1.450000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1150                              2     1.423077
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1725                               2     1.412500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1150          2     1.379747
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1725                               2     1.337500
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2300                               2     1.325000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-575                               2     1.307692
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2296                               2     1.250000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1725          2     1.240506
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2870                               2     1.225000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-575                                2     1.200000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1150                               2     1.187500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2870          2     1.187500
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1150          2     1.162500
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2870                               2     1.125000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2300          2     1.087500
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1725          2     1.075000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2870          2     1.062500
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-575                               2     1.037500
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1725                              2     1.012821
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2870                              2     1.012500
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1150                              2     1.000000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2870                              2     1.000000
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2296                              2     1.000000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2300                              2     1.000000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1725                              2     1.000000

########## Average ##########
                                                                                                                              score
model                                                                                                                              
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2300     3.562500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2870     3.550000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2870  3.481250
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1725     3.481250
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2300  3.481250
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2300   3.462500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2870   3.437500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1725  3.412500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1725   3.393750
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1150    3.387500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1150     3.368750
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2870    3.318750
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1725    3.268750
